date,hour,value
01/01/23,00:00,221
01/02/23,00:00,222
01/03/23,00:00,223
01/04/23,00:00,224
01/05/23,00:00,224
01/06/23,00:00,223
01/07/23,00:00,223
01/08/23,00:00,222
01/09/23,00:00,222
01/10/23,00:00,223
01/11/23,00:00,224
01/12/23,00:00,224
01/13/23,00:00,222
01/14/23,00:00,223
01/15/23,00:00,223
01/16/23,00:00,222
01/17/23,00:00,223
01/18/23,00:00,222
01/19/23,00:00,221
01/20/23,00:00,222
01/21/23,00:00,223
01/22/23,00:00,222
01/23/23,00:00,221
01/24/23,00:00,222
01/25/23,00:00,221
01/26/23,00:00,221
01/27/23,00:00,223
01/28/23,00:00,221
01/29/23,00:00,222
01/30/23,00:00,218
01/31/23,00:00,219
02/01/23,00:00,218
02/02/23,00:00,221
02/03/23,00:00,220
02/04/23,00:00,222
02/05/23,00:00,220
02/06/23,00:00,222
02/07/23,00:00,220
02/08/23,00:00,221
02/09/23,00:00,219
02/10/23,00:00,221
02/11/23,00:00,222
02/12/23,00:00,222
02/13/23,00:00,221
02/14/23,00:00,222
02/15/23,00:00,221
02/16/23,00:00,222
02/17/23,00:00,222
02/18/23,00:00,220
02/19/23,00:00,221
02/20/23,00:00,218
02/21/23,00:00,219
02/22/23,00:00,220
02/23/23,00:00,222
02/24/23,00:00,224
02/25/23,00:00,221
02/26/23,00:00,222
02/27/23,00:00,221
02/28/23,00:00,222
03/01/23,00:00,221
03/02/23,00:00,220
03/03/23,00:00,222
03/04/23,00:00,221
03/05/23,00:00,222
03/06/23,00:00,221
03/07/23,00:00,223
03/08/23,00:00,222
03/09/23,00:00,218
03/10/23,00:00,220
03/11/23,00:00,219
03/12/23,00:00,221
03/13/23,00:00,222
03/14/23,00:00,223
03/15/23,00:00,221
03/16/23,00:00,223
03/17/23,00:00,222
03/18/23,00:00,223
03/19/23,00:00,221
03/20/23,00:00,219
03/21/23,00:00,220
03/22/23,00:00,220
03/23/23,00:00,220
03/24/23,00:00,222
03/25/23,00:00,219
03/26/23,00:00,221
03/27/23,00:00,221
03/28/23,00:00,223
03/29/23,00:00,224
03/30/23,00:00,224
03/31/23,00:00,223
04/01/23,00:00,223
04/02/23,00:00,222
